row_number,visitor_id,search_timestamp,category,pro_user_id,num_reviews,avg_rating,pro_last_active_time_before_search,cost_estimate_dollars,result_position,service_page_viewed,contact_id,hired
19267,339572860043002000,2018-10-05 05:47:40.818 UTC,House Cleaning,207095747129975000,47,4.72,2018-10-04 11:16:10.95 UTC,65.0,1,True,339573165688291000,True
16672,344375771079221000,2018-11-29 19:56:11.718 UTC,Local Moving (under 50 miles),304123340312182000,47,4.64,2018-11-29 06:20:35.107 UTC,79.0,1,True,344375889270046000,False
8948,342060253730496000,2018-11-03 00:44:14.59 UTC,House Cleaning,318723098874437000,47,4.83,2018-11-02 21:15:17.388 UTC,100.0,2,True,342060305180885000,True
15638,344112025844498000,2018-11-26 18:40:26.773 UTC,House Cleaning,318723098874437000,47,4.83,2018-11-26 01:04:29.194 UTC,100.0,1,True,344112148906229000,False
5598,342937577138053000,2018-11-13 04:26:17.73 UTC,Local Moving (under 50 miles),113798799577056000,48,4.5,2018-11-12 22:43:43.411 UTC,80.0,4,True,342938101397127000,False
21074,343174461519306000,2018-11-15 22:14:22.047 UTC,Local Moving (under 50 miles),113798799577056000,48,4.5,2018-11-15 14:57:23.439 UTC,80.0,3,True,343174651999469000,False
21709,343111533683097000,2018-11-15 04:45:34.35 UTC,Local Moving (under 50 miles),113798799577056000,48,4.5,2018-11-14 20:37:35.749 UTC,80.0,4,True,343111772040224000,False
12471,342986575914074000,2018-11-13 18:02:56.409 UTC,Local Moving (under 50 miles),303638520374747000,48,4.96,2018-11-13 01:08:01.308 UTC,65.0,1,True,342986725603827000,False
5766,342236108692742000,2018-11-05 01:35:09.753 UTC,House Cleaning,281388549974697000,48,5.0,2018-10-19 17:27:29.927 UTC,110.0,1,True,342236245771927000,False
9895,343544975527763000,2018-11-20 05:09:36.45 UTC,House Cleaning,261269751248159000,49,4.84,2018-11-20 02:26:50.981 UTC,99.0,2,True,343545169865285000,False
18517,344174339608952000,2018-11-27 11:59:00.427 UTC,House Cleaning,261269751248159000,49,4.84,2018-11-26 17:20:55.99 UTC,125.0,2,True,344174678691176000,True
19436,344399540608647000,2018-11-30 02:32:21.778 UTC,House Cleaning,261269751248159000,49,4.84,2018-11-29 23:21:34.673 UTC,99.0,2,True,344399729540235000,False
19860,340940197302026000,2018-10-21 01:36:38.06 UTC,House Cleaning,255038324913513000,49,4.8,2018-10-20 17:51:47.965 UTC,109.0,2,True,340940688593895000,False
14220,342649352707023000,2018-11-09 20:22:33.447 UTC,House Cleaning,309915477985067000,49,4.8,2018-11-08 00:18:08.032 UTC,90.0,2,True,342649636129161000,False
18814,343249524860239000,2018-11-16 19:05:25.462 UTC,Local Moving (under 50 miles),307677947960869000,49,4.8,2018-11-14 20:58:47.443 UTC,120.0,2,True,343249979582455000,False
26009,343266027633000000,2018-11-16 23:40:28.056 UTC,House Cleaning,264703071253636000,50,4.9,2018-11-16 02:41:45.519 UTC,0.0,1,True,343266539006992000,False
16818,342918409118417000,2018-11-12 23:06:49.919 UTC,House Cleaning,239577572060505000,50,4.94,2018-11-12 19:09:58.928 UTC,75.0,2,True,342918681240535000,True
6645,340411843953508000,2018-10-14 22:50:44.628 UTC,House Cleaning,288039944062149000,50,4.96,2018-10-14 19:36:08.305 UTC,113.0,1,True,340411906719768000,False
22070,341812815450448000,2018-10-31 04:00:16.157 UTC,House Cleaning,211519620135937000,50,3.92,2018-10-30 18:08:16.934 UTC,75.0,2,True,341813326796718000,False
4481,340468980952817000,2018-10-15 14:43:01.661 UTC,Local Moving (under 50 miles),318270977789739000,50,4.96,2018-10-15 13:32:11.732 UTC,65.0,1,True,340469168416964000,True
8121,343669956966277000,2018-11-21 15:52:37.461 UTC,Local Moving (under 50 miles),292561377241055000,50,4.5,2018-11-20 23:13:53.256 UTC,90.0,2,True,343670497811931000,True
10878,343535238532579000,2018-11-20 02:27:19.026 UTC,Local Moving (under 50 miles),292561377241055000,50,4.5,2018-11-19 23:13:37.995 UTC,90.0,1,True,343536378204643000,False
21752,344128879488876000,2018-11-26 23:21:20.142 UTC,Local Moving (under 50 miles),292561377241055000,50,4.5,2018-11-25 16:26:13.077 UTC,90.0,1,True,344223245421232000,False
25470,339786093120389000,2018-10-07 17:01:33.761 UTC,House Cleaning,302682775390732000,51,4.55,2018-10-07 16:26:16.701 UTC,100.0,2,True,339786297018794000,False
12508,343670444283813000,2018-11-21 16:00:45 UTC,House Cleaning,303252310137790000,51,4.84,2018-11-21 01:46:45.118 UTC,130.0,1,True,343671006024884000,False
1781,344003834130432000,2018-11-25 12:37:14.508 UTC,Local Moving (under 50 miles),286479972120921000,51,4.73,2018-11-08 22:37:00.443 UTC,114.0,2,True,344004068593852000,False
6159,344139467625242000,2018-11-27 02:17:48.072 UTC,Local Moving (under 50 miles),286479972120921000,51,4.73,2018-11-08 22:37:00.443 UTC,114.0,2,True,344139633031102000,False
14498,344401612231843000,2018-11-30 03:06:52.546 UTC,Local Moving (under 50 miles),286479972120921000,51,4.73,2018-11-08 22:37:00.443 UTC,114.0,1,True,344402051812507000,False
